,gene,members,origin,r_scores,snps
2882,group4270,198,['chrm'],0.265322145468,51
2883,group4271,198,['chrm'],0.161986025338,38
2884,group4272,198,['chrm'],0.227335236548,58
2885,group4273,198,['chrm'],0.258697817787,76
2886,group4274,198,['chrm'],0.220321425159,37
2887,group4275,197,0,0.167548428416,18
2888,group4276,198,['chrm'],0.220148825924,40
2889,group4277,195,0,0.19670820249,207
2890,group4284,132,0,0.140832794676,69
2891,group4285,132,0,0.167286563495,30
2892,group4286,132,0,0.144923788617,53
2893,group4287,132,0,0.141829917196,47
2894,group4288,132,0,0.136216832084,11
2895,group4289,132,0,0.145333593546,22
2896,group4290,132,0,0.189709396459,59
2897,group4297,167,0,0.146816399626,11
2898,group4298,165,0,0.126705583037,10
2899,group432,186,0,0.111139959729,53
2900,group4331,165,0,0.216979967006,108
2901,group4332,165,0,0.167899723778,94
2902,group4333,165,0,0.119602983353,17
2903,group4334,165,0,0.156968497933,35
2904,group4335,165,0,0.128109856967,9
2905,group4336,165,0,0.167093668605,29
2906,group4337,165,0,0.150131384513,108
2907,group4338,165,0,0.133704642897,5
2908,group4339,165,0,0.137425436233,14
2909,group4340,187,0,0.187392814468,27
2910,group4341,198,['chrm'],0.220455762774,86
2911,group4342,188,0,0.172271656693,41
2912,group4343,198,['chrm'],0.200733629143,252
2913,group4344,198,['chrm'],0.15719926079,30
2914,group4345,198,['chrm'],0.228360909433,47
2915,group4346,198,['chrm'],0.197167593823,106
2916,group4347,198,['chrm'],0.209719831242,54
2917,group4348,198,['chrm'],0.149084948058,24
2918,group4349,198,['chrm'],0.118006941949,57
2919,group4350,198,['chrm'],0.148678248376,74
2920,group4351,198,['chrm'],0.175542495847,53
2921,group4352,198,['chrm'],0.196050206693,80
2922,group4354,198,['chrm'],0.13944473885,15
2923,group4357,193,0,0.156365831445,18
2924,group4358,193,0,0.151487098895,14
2925,group4359,198,['chrm'],0.172274909718,63
2926,group4360,179,0,0.118974266437,322
2927,group4361,198,['chrm'],0.177901746873,118
2928,group4362,198,['chrm'],0.162823453187,77
2929,group4363,198,['chrm'],0.196254491461,158
2930,group4364,198,['chrm'],0.11929655847,93
2931,group4365,197,0,0.172159953813,25
2932,group4366,198,['chrm'],0.19724922939,193
2933,group4367,198,['chrm'],0.226707126843,69
2934,group4368,198,['chrm'],0.161287017219,32
2935,group4369,198,['chrm'],0.136984828056,12
2936,group4370,198,['chrm'],0.151685190388,71
2937,group4371,197,0,0.13380039026,18
2938,group4372,154,0,0.115374734404,49
2939,group4373,198,['chrm'],0.170138596631,70
2940,group4374,157,0,0.0940224627386,22
2941,group4396,198,['chrm'],0.163116331912,111
2942,group4397,198,['chrm'],0.208678163296,199
2943,group4398,198,['chrm'],0.22073297777,82
2944,group4399,198,['chrm'],0.10681853047,6
2945,group4400,198,['chrm'],0.190900227606,62
2946,group4401,198,['chrm'],0.213805471347,104
2947,group4402,198,['chrm'],0.232253381168,90
2948,group4403,198,['chrm'],0.192464268932,98
2949,group4404,198,['chrm'],0.181019444969,75
2950,group4405,198,['chrm'],0.159840083496,112
2951,group4406,198,['chrm'],0.175713218422,66
2952,group4407,198,['chrm'],0.247614657566,90
2953,group4408,197,0,0.213122165272,110
2954,group4409,197,0,0.174470871285,63
2955,group4410,198,['chrm'],0.254192356117,124
2956,group4411,198,['chrm'],0.14322732064,45
2957,group4412,198,['chrm'],0.168342188869,44
2958,group4413,198,['chrm'],0.24787894193,86
2959,group4414,198,['chrm'],0.176630562005,35
2960,group4415,198,['chrm'],0.24335984544,154
2961,group4418,118,0,0.148989800241,19
2962,group4419,117,0,0.0925736309797,281
2963,group4420,113,0,0.227461970757,28
2964,group4421,153,0,0.215252717536,44
2965,group4423,196,0,0.144251507032,31
2966,group4424,188,0,0.191057004302,77
2967,group4425,197,0,0.126755954593,101
2968,group4426,198,['Rh03'],0.191064196696,45
2969,group4427,198,['Rh03'],0.200166738088,47
2970,group4428,187,0,0.130344583739,66
2971,group4429,187,0,0.181788159341,56
2972,group4430,187,0,0.13500261733,47
2973,group4431,198,['Rh03'],0.0855024941249,31
2974,group4432,198,['Rh03'],0.204853255902,74
